ANO;LOCALIDAD;SEXO;EDAD_QUINQUENAL;CAUSAS_667;CAUSAS_105;TOTAL_CASOS
2010;Ciudad Bolívar;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;8
2010;Ciudad Bolívar;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;12
2010;Ciudad Bolívar;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;6
2010;Ciudad Bolívar;Hombres;5 a 9;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Ciudad Bolívar;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;6
2010;Ciudad Bolívar;Hombres;55 a 59;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Ciudad Bolívar;Hombres;60 a 64;Agresiones (homicidios);Agresiones (homicidios) y secuelas;3
2010;Ciudad Bolívar;Hombres;65 a 69;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Engativá;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;11
2010;Engativá;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;15
2010;Engativá;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;10
2010;Engativá;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;3
2010;Engativá;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;7
2010;Engativá;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;8
2010;Engativá;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;5
2010;Engativá;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;5
2010;Engativá;Hombres;55 a 59;Agresiones (homicidios);Agresiones (homicidios) y secuelas;4
2010;Fontibón;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;5
2010;Fontibón;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;5
2010;Fontibón;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Fontibón;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;5
2010;Fontibón;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Fontibón;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Fontibón;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Fontibón;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Fontibón;Hombres;55 a 59;Agresiones (homicidios);Agresiones (homicidios) y secuelas;3
2010;Kennedy;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;22
2010;Kennedy;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;23
2010;Kennedy;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;25
2010;Kennedy;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;23
2010;Kennedy;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;12
2010;Kennedy;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;15
2010;Kennedy;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;5
2010;Kennedy;Hombres;5 a 9;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Kennedy;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;8
2010;Kennedy;Hombres;55 a 59;Agresiones (homicidios);Agresiones (homicidios) y secuelas;3
2010;Kennedy;Hombres;60 a 64;Agresiones (homicidios);Agresiones (homicidios) y secuelas;4
2010;Kennedy;Hombres;65 a 69;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Kennedy;Hombres;80 a 84;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;La Candelaria;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;La Candelaria;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;La Candelaria;Hombres;55 a 59;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Los Mártires;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;4
2010;Los Mártires;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;3
2010;Los Mártires;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Los Mártires;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Los Mártires;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Los Mártires;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;4
2010;Los Mártires;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Los Mártires;Hombres;55 a 59;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Los Mártires;Hombres;65 a 69;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Los Mártires;Hombres;70 a 74;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Puente Aranda;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Puente Aranda;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;7
2010;Puente Aranda;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;5
2010;Puente Aranda;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;4
2010;Puente Aranda;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Puente Aranda;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;4
2010;Puente Aranda;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;4
2010;Puente Aranda;Hombres;55 a 59;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Puente Aranda;Hombres;65 a 69;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Rafael Uribe Uribe;Hombres;0 a 4;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Rafael Uribe Uribe;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;15
2010;Rafael Uribe Uribe;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;17
2010;Rafael Uribe Uribe;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;11
2010;Rafael Uribe Uribe;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;6
2010;Rafael Uribe Uribe;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;5
2010;Rafael Uribe Uribe;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;3
2010;Rafael Uribe Uribe;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;5
2010;Rafael Uribe Uribe;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Rafael Uribe Uribe;Hombres;60 a 64;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;San Cristóbal;Hombres;10 a 14;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;San Cristóbal;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;13
2010;San Cristóbal;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;21
2010;San Cristóbal;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;7
2010;San Cristóbal;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;6
2010;San Cristóbal;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;San Cristóbal;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;7
2010;San Cristóbal;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;5
2010;San Cristóbal;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;San Cristóbal;Hombres;55 a 59;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;San Cristóbal;Hombres;60 a 64;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Santa Fe;Hombres;0 a 4;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Santa Fe;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;9
2010;Santa Fe;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;5
2010;Santa Fe;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;5
2010;Santa Fe;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;9
2010;Santa Fe;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;5
2010;Santa Fe;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;4
2010;Santa Fe;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;7
2010;Santa Fe;Hombres;55 a 59;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Santa Fe;Hombres;60 a 64;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Sin Dato;Hombres;0 a 4;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Sin Dato;Hombres;10 a 14;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Sin Dato;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;51
2010;Sin Dato;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;88
2010;Sin Dato;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;69
2010;Sin Dato;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;53
2010;Sin Dato;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;40
2010;Sin Dato;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;24
2010;Sin Dato;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;14
2010;Sin Dato;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;16
2010;Sin Dato;Hombres;55 a 59;Agresiones (homicidios);Agresiones (homicidios) y secuelas;10
2010;Sin Dato;Hombres;60 a 64;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Sin Dato;Hombres;65 a 69;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Sin Dato;Hombres;70 a 74;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Sin Dato;Hombres;75 a 79;Agresiones (homicidios);Agresiones (homicidios) y secuelas;3
2010;Sin Dato;Hombres;95 a 99;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Suba;Hombres;0 a 4;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Suba;Hombres;10 a 14;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Suba;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;10
2010;Suba;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;17
2010;Suba;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;14
2010;Suba;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;13
2010;Suba;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;6
2010;Suba;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;13
2010;Suba;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;6
2010;Suba;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;6
2010;Suba;Hombres;60 a 64;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Suba;Hombres;65 a 69;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Suba;Hombres;70 a 74;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Teusaquillo;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Teusaquillo;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Teusaquillo;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Teusaquillo;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;3
2010;Teusaquillo;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Teusaquillo;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Teusaquillo;Hombres;85 a 89;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Tunjuelito;Hombres;10 a 14;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Tunjuelito;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Tunjuelito;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;4
2010;Tunjuelito;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Tunjuelito;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;3
2010;Tunjuelito;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;3
2010;Tunjuelito;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Tunjuelito;Hombres;55 a 59;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Tunjuelito;Hombres;65 a 69;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Tunjuelito;Hombres;70 a 74;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Usaquén;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;4
2010;Usaquén;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;11
2010;Usaquén;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;17
2010;Usaquén;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;11
2010;Usaquén;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;6
2010;Usaquén;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;4
2010;Usaquén;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;4
2010;Usaquén;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Usaquén;Hombres;55 a 59;Agresiones (homicidios);Agresiones (homicidios) y secuelas;4
2010;Usaquén;Hombres;60 a 64;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Usme;Hombres;10 a 14;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Usme;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;10
2010;Usme;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;11
2010;Usme;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;18
2010;Usme;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;5
2010;Usme;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;8
2010;Usme;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;3
2010;Usme;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Usme;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2011;Antonio Nariño;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Antonio Nariño;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Antonio Nariño;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Antonio Nariño;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Barrios Unidos;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Barrios Unidos;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;3
2011;Barrios Unidos;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Barrios Unidos;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Barrios Unidos;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Barrios Unidos;Hombres;55 a 59;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Bosa;Hombres;10 a 14;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Bosa;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;21
2011;Bosa;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;24
2011;Bosa;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;12
2011;Bosa;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;10
2011;Bosa;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;7
2011;Bosa;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;6
2011;Bosa;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;6
2011;Bosa;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;7
2011;Bosa;Hombres;55 a 59;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Bosa;Hombres;60 a 64;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2011;Bosa;Hombres;65 a 69;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Bosa;Hombres;75 a 79;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Chapinero;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2011;Chapinero;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;3
2011;Chapinero;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2011;Chapinero;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2011;Chapinero;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Chapinero;Hombres;60 a 64;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Ciudad Bolívar;Hombres;10 a 14;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Ciudad Bolívar;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;28
2011;Ciudad Bolívar;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;47
2011;Ciudad Bolívar;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;32
2011;Ciudad Bolívar;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;25
2011;Ciudad Bolívar;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;16
2011;Ciudad Bolívar;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;14
2011;Ciudad Bolívar;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;10
2011;Ciudad Bolívar;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;6
2011;Ciudad Bolívar;Hombres;55 a 59;Agresiones (homicidios);Agresiones (homicidios) y secuelas;5
2011;Ciudad Bolívar;Hombres;60 a 64;Agresiones (homicidios);Agresiones (homicidios) y secuelas;3
2011;Ciudad Bolívar;Hombres;70 a 74;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Ciudad Bolívar;Hombres;80 a 84;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Engativá;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;6
2011;Engativá;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;10
2011;Engativá;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;12
2011;Engativá;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;11
2011;Engativá;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;9
2011;Engativá;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;4
2011;Engativá;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;3
2011;Engativá;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;3
2011;Engativá;Hombres;55 a 59;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2011;Engativá;Hombres;60 a 64;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Engativá;Hombres;65 a 69;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Fontibón;Hombres;10 a 14;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Fontibón;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2011;Fontibón;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;4
2011;Fontibón;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;5
2011;Fontibón;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2011;Fontibón;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;10
2011;Fontibón;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;4
2011;Fontibón;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2011;Fontibón;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2011;Fontibón;Hombres;55 a 59;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Fontibón;Hombres;70 a 74;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Kennedy;Hombres;10 a 14;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Kennedy;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;22
2011;Kennedy;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;23
2011;Kennedy;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;27
2011;Kennedy;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;28
2011;Kennedy;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;11
2011;Kennedy;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;18
2011;Kennedy;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;10
2011;Kennedy;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Kennedy;Hombres;55 a 59;Agresiones (homicidios);Agresiones (homicidios) y secuelas;5
2011;Kennedy;Hombres;60 a 64;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2011;Kennedy;Hombres;65 a 69;Agresiones (homicidios);Agresiones (homicidios) y secuelas;4
2011;La Candelaria;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;3
2011;La Candelaria;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;La Candelaria;Hombres;75 a 79;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Los Mártires;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2011;Los Mártires;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;5
2011;Los Mártires;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2011;Los Mártires;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;3
2011;Los Mártires;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
